Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,794838,737881,401256,351383
Depreciation & amortization,-,700495,712216,661112
Change in working capital,-,1258784,865327,368824
Inventory,-,1118256,442405,510422
Other working capital,-,1445368,1371313,-434588
Other non-cash items,-,42051,177045,41053
Net cash provided by operating activites,-,2742998,2387812,1418002
Investments in property plant and equipment,-,-1297630,-1016499,-1852590
Purchases of investments,-,-85793,-85349,-37145
Sales/Maturities of investments,-,80023,80020,-
Other investing activites,-,61317,-16595,-58501
Net cash used for investing activites,-,-1242083,-1038423,-1948236
Net change in cash,-,-39237,194829,-108484
Cash at beginning of period,-,821047,626217,734701
Cash at end of period,-,781810,821047,626217
Operating Cash Flow,-,2742998,2387812,1418002
Capital Expenditure,-,-1297630,-1016499,-1852590
Free Cash Flow,-,1445368,1371313,-434588
