Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,4307,-8376,206920,238786
Depreciation & amortization,-,1086439,1017063,1037368
Change in working capital,-,-364678,-254834,-191300
Inventory,-,-248721,-266033,-227478
Other working capital,-,-694373,-33025,97517
Other non-cash items,-,255623,123437,348979
Net cash provided by operating activites,-,918815,946427,1405065
Investments in property plant and equipment,-,-1613188,-979452,-1307548
Other investing activites,-,-294394,160966,174214
Net cash used for investing activites,-,-1599827,-547588,-890820
Net change in cash,-,-2816,-140830,106728
Cash at beginning of period,-,948386,1089216,982488
Cash at end of period,-,945569,948386,1089216
Operating Cash Flow,-,918815,946427,1405065
Capital Expenditure,-,-1613188,-979452,-1307548
Free Cash Flow,-,-694373,-33025,97517
