Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6044000,4783000,4640000,3261000
Depreciation & amortization,1175000,1118000,1162000,1085000
Stock based compensation,40000,29000,34000,27000
Change in working capital,579000,-12000,245000,-710000
Inventory,240000,-287000,95000,-93000
Other working capital,7395000,4804000,4685000,1429000
Other non-cash items,432000,1000,1000,1000
Net cash provided by operating activites,8347000,5671000,5680000,2540000
Investments in property plant and equipment,-952000,-867000,-995000,-1111000
Purchases of investments,-281000,-496000,-2199000,-363000
Sales/Maturities of investments,83000,313000,112000,88000
Other investing activites,-71000,26000,-37000,-10000
Net cash used for investing activites,-2313000,-1024000,-686000,-1110000
Net change in cash,4430000,3547000,4221000,464000
Cash at beginning of period,17981000,16630000,12408000,11943000
Cash at end of period,22468000,20177000,16630000,12408000
Operating Cash Flow,8347000,5671000,5680000,2540000
Capital Expenditure,-952000,-867000,-995000,-1111000
Free Cash Flow,7395000,4804000,4685000,1429000
