Breakdown,ttm,3/31/2019,3/31/2018,12/31/2016
Net Income,334604,1205904,1640742,1719861
Depreciation & amortization,-,1593672,1723663,1909844
Change in working capital,-,-464521,1497938,-286580
Inventory,-,-6179,61175,-104070
Other working capital,-,2232761,6487524,4057256
Other non-cash items,-,127089,700176,488742
Net cash provided by operating activites,-,2232761,6487524,4057256
Acquisitions net,-,-497634,-267000,-
Purchases of investments,-,-,-788480,-
Other investing activites,-,-1047252,-1123551,-1622360
Net cash used for investing activites,-,-1544886,-2179031,-1622360
Net change in cash,-,-686884,2486970,2670571
Cash at beginning of period,-,7880234,5393264,5679081
Cash at end of period,-,7193349,7880234,8349652
Operating Cash Flow,-,2232761,6487524,4057256
Free Cash Flow,-,2232761,6487524,4057256
