Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2162000,1554000,1210000,1011000
Depreciation & amortization,1824000,1558000,625000,411000
Stock based compensation,241000,282000,51000,51000
Change in working capital,567000,-698000,1416000,-1736000
Inventory,-,-,-273000,-42000
Other working capital,4318000,2037000,3009000,-268000
Other non-cash items,-,-,19000,83000
Net cash provided by operating activites,4925000,2807000,3503000,38000
Investments in property plant and equipment,-607000,-770000,-494000,-306000
Acquisitions net,-3681000,-4267000,-1403000,-
Purchases of investments,-656000,-644000,-159000,-1115000
Sales/Maturities of investments,-,77000,40000,5000
Other investing activites,-256000,-31000,-105000,-160000
Net cash used for investing activites,-5123000,-5635000,-2095000,-1576000
Net change in cash,-5291000,-2297000,5532000,877000
Cash at beginning of period,9810000,9159000,3627000,2749000
Cash at end of period,4843000,6862000,9159000,3627000
Operating Cash Flow,4925000,2807000,3503000,38000
Capital Expenditure,-607000,-770000,-494000,-306000
Free Cash Flow,4318000,2037000,3009000,-268000
