Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-3252000,917000,-16056000,840000
Depreciation & amortization,-,7024000,6632000,6715000
Change in working capital,-,-4339000,-806000,-670000
Inventory,-,-4904000,-2334000,-393000
Other working capital,-,-23160000,-1586000,2192000
Other non-cash items,-,5150000,19133000,266000
Net cash provided by operating activites,-,-13856000,5305000,6443000
Investments in property plant and equipment,-,-9304000,-6891000,-4251000
Acquisitions net,-,-,-80000,-
Purchases of investments,-,-,-399000,-
Sales/Maturities of investments,-,367000,-,2000
Other investing activites,-,122000,-4000,-124000
Net cash used for investing activites,-,-8771000,-7265000,-4334000
Net change in cash,-,-5628000,-3808000,2196000
Cash at beginning of period,-,24634000,28442000,26245000
Cash at end of period,-,19005000,24634000,28442000
Operating Cash Flow,-,-13856000,5305000,6443000
Capital Expenditure,-,-9304000,-6891000,-4251000
Free Cash Flow,-,-23160000,-1586000,2192000
