Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1055674,825213,1254591,1134323
Depreciation & amortization,1352102,1328560,1291930,1273020
Change in working capital,202877,-32326,-377025,-5241
Inventory,943,-1324,832,-791
Other working capital,-1421884,421954,31873,1398198
Other non-cash items,32965,29668,38805,-110888
Net cash provided by operating activites,2885806,2374230,2093128,2345383
Investments in property plant and equipment,-4307690,-1952276,-2061255,-947185
Purchases of investments,-200000,-1361582,-,-
Sales/Maturities of investments,-,-,166860,-
Other investing activites,-35491,-58947,-17096,-38878
Net cash used for investing activites,-4526880,-3353611,-1816593,-899811
Net change in cash,-774084,-1684895,-493654,583269
Cash at beginning of period,6399318,8326760,8751477,8168208
Cash at end of period,5625134,6641865,8326760,8751477
Operating Cash Flow,2885806,2374230,2093128,2345383
Capital Expenditure,-4307690,-1952276,-2061255,-947185
Free Cash Flow,-1421884,421954,31873,1398198
