Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,580650,580650,368353,303869,203372
Interest Expense,148175,148175,81038,42436,26243
Income Before Tax,246264,246264,159997,121687,80131
Income Tax Expense,53528,53528,31738,45175,26591
Income from Continuing Operations,192736,192736,128259,76512,53540
Net Income,192736,192736,128259,76512,53540
Net Income available to common shareholders,191484,191484,127144,75789,52655
Basic EPS,-,-,4.33,2.98,2.89
Diluted EPS,-,-,4.33,2.97,2.88
Basic Average Shares,-,-,29599,25636,18502
Diluted Average Shares,-,-,29599,25742,18588
