Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,3043392000,2910791000,2905509000
Liabilities,,,
Total Liabilities,2923267000,2790033000,2787415000
Stockholders' Equity,,,
Common Stock,19562000,19562000,19562000
Retained Earnings,72038000,69981000,66839000
Total stockholders' equity,120124000,120757000,118093000
Total liabilities and stockholders' equity,3043392000,2910791000,2905509000
