Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,185099,108633,164444,174023
Depreciation & amortization,-,547956,603339,633591
Change in working capital,-,-113077,32055,-425835
Inventory,-,-67621,-32879,102593
Other working capital,-,650209,397343,169458
Other non-cash items,-,213673,-28957,34957
Net cash provided by operating activites,-,783370,913170,514123
Investments in property plant and equipment,-,-133161,-515827,-344665
Purchases of investments,-,-2160000,-,-
Sales/Maturities of investments,-,2160000,-,-
Other investing activites,-,95058,199960,97714
Net cash used for investing activites,-,-38103,-315867,-207763
Net change in cash,-,67556,49566,-134157
Cash at beginning of period,-,450209,400643,534800
Cash at end of period,-,517766,450209,400643
Operating Cash Flow,-,783370,913170,514123
Capital Expenditure,-,-133161,-515827,-344665
Free Cash Flow,-,650209,397343,169458
