Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Purchases of investments,-7934,-8281,-674,-189
Sales/Maturities of investments,815,2082,9843,357
Other investing activites,410,513,165,1444
Net cash used for investing activites,-6709,-5686,9334,1612
Net change in cash,9238,22530,43,728
Cash at beginning of period,-,10655,790,62
Cash at end of period,-,33185,833,790
Free Cash Flow,-2168,-1987,-1459,-789
