Attribute,Value
Previous Close,11.12
Open,11.55
Bid,12.00 x 800
Ask,19.18 x 1200
Day's Range,10.92 - 12.42
52 Week Range,7.87 - 24.75
Volume,80366
Avg. Volume,16724
Net Assets,6.02M
NAV,8.74
PE Ratio (TTM),
Yield,33.18%
YTD Daily Total Return,-57.28%
Beta (5Y Monthly),0.00
Expense Ratio (net),0.85%
Inception Date,2017-04-25
