Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-57436,-60777,-14949,-10703,-12962
Other investing activites,-,-,978,13430,43416
Net cash used for investing activites,-57436,-60777,-13971,2727,30454
Debt repayment,-,-43674,-37685,-,-
Common stock issued,-,-,-,14703,-
Common stock repurchased,-,-45,-,-,-
Dividends Paid,-24517,-8162,-,-,-
Net cash used privided by (used for) financing activities,-34951,-8618,-15601,30518,-
Net change in cash,39088,70648,-7698,15435,-3119
Cash at beginning of period,32291,19817,27515,12080,15199
Cash at end of period,71379,90465,19817,27515,12080
Capital Expenditure,-57436,-60777,-14949,-10703,-12962
Free Cash Flow,74039,79266,6925,-28513,-46535
