Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,14598000,11582000,13742000,12105000
Depreciation & amortization,15502000,11989000,10900000,10431000
Change in working capital,-2330000,-1792000,1392000,-7846000
Inventory,4201000,-1298000,4377000,-3082000
Other working capital,11075000,5652000,14287000,1424000
Other non-cash items,3165000,1142000,2363000,2727000
Net cash provided by operating activites,29531000,22637000,28206000,16521000
Investments in property plant and equipment,-18456000,-16985000,-13919000,-15097000
Acquisitions net,-64410000,-66274000,-815000,-
Purchases of investments,-,-13000,-12000,-71000
Sales/Maturities of investments,5830000,4221000,1749000,2306000
Other investing activites,-1073000,-53000,-1545000,-1718000
Net cash used for investing activites,-77295000,-79104000,-14510000,-13760000
Net change in cash,4725000,8208000,120000,-3503000
Cash at beginning of period,15199000,12999000,12681000,16698000
Cash at end of period,20803000,21207000,12999000,12681000
Operating Cash Flow,29531000,22637000,28206000,16521000
Capital Expenditure,-18456000,-16985000,-13919000,-15097000
Free Cash Flow,11075000,5652000,14287000,1424000
