Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,512187,468797,445723
Liabilities,,,
Total Liabilities,142800,122799,137285
Stockholders' Equity,,,
Common Stock,227431,217194,204820
Retained Earnings,6157,8365,7532
Total stockholders' equity,369386,345998,308438
Total liabilities and stockholders' equity,512187,468797,445723
