Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-4.164,-70.156,-212.298,-
Acquisitions net,-,-,-,-1986,-
Sales/Maturities of investments,-,-,46.192,-,-
Other investing activites,-,-268.783,782.688,-,-150
Net cash used for investing activites,-309.118,-254.336,758.724,-2198,3622
Common stock issued,8366,5979,7654,3122,-
Common stock repurchased,-649.975,-465.956,-426.776,-49.401,-
Net cash used privided by (used for) financing activities,7716,5513,7227,3073,-
Net change in cash,549.313,-842.631,490.513,-5730,1760
Cash at beginning of period,1252,1204,702.575,6675,4846
Cash at end of period,1801,352.993,1204,702.575,6675
Capital Expenditure,-,-4.164,-70.156,-212.298,-
Free Cash Flow,-6898,-6105,-7566,-6817,-1862
