Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-221.702,-66.178,-517.986,-155.535,-27071
Purchases of investments,-,-,-,-,10.495
Other investing activites,-,42.305,1.231,-15.204,-
Net cash used for investing activites,-124.529,120.536,-516.755,-170.739,-27061
Debt repayment,-2724,-3288,-4664,-17814,10177
Common stock issued,-,428.957,100,8532,11612
Common stock repurchased,-,-,-98.156,-438.426,-177.498
Dividends Paid,-,-,-,-279.217,-228.452
Net cash used privided by (used for) financing activities,2644,133.264,-4662,-1835,21383
Net change in cash,322.445,-2190,-2540,2506,1342
Cash at beginning of period,954.94,2560,5200,2903,1763
Cash at end of period,1277,839.462,2560,5200,2903
Capital Expenditure,-221.702,-66.178,-517.986,-155.535,-27071
Free Cash Flow,-2419,-2510,2121,4357,-20052
