Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2609430,2956741,3065665,2834814
Depreciation & amortization,-,785001,823840,873331
Change in working capital,-,411224,-139107,275545
Inventory,-,32217,-89011,-28270
Other working capital,-,3472601,3118779,1004022
Other non-cash items,-,-46241,13572,-55030
Net cash provided by operating activites,-,4003799,4020817,3721170
Investments in property plant and equipment,-,-531198,-902038,-2717148
Purchases of investments,-,-668468,-131487,-8668
Sales/Maturities of investments,-,5819,129388,-
Other investing activites,-,-,-,-1
Net cash used for investing activites,-,-1189716,-899277,-2338900
Net change in cash,-,1635761,2592134,389136
Cash at beginning of period,-,18333420,15741285,15352148
Cash at end of period,-,19969181,18333420,15741285
Operating Cash Flow,-,4003799,4020817,3721170
Capital Expenditure,-,-531198,-902038,-2717148
Free Cash Flow,-,3472601,3118779,1004022
