Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,55752,53138,47311,46382
Liabilities,,,,
Total Liabilities,4791,5552,3462,3225
Stockholders' Equity,,,,
Common Stock,35659,35659,35659,35518
Retained Earnings,2852,1176,610,215
Accumulated other comprehensive income,12450,10751,7580,7424
Total stockholders' equity,50961,47586,43849,43157
Total liabilities and stockholders' equity,55752,53138,47311,46382
