Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,12041000,10843000,11690000,9040000
Depreciation & amortization,-,3520000,3225000,2973000
Change in working capital,-,245167000,35160000,88604000
Other working capital,-,258889000,8252000,83300000
Other non-cash items,-,-45651000,-83381000,-57690000
Net cash provided by operating activites,-,262437000,12895000,87032000
Investments in property plant and equipment,-,-3548000,-4643000,-3732000
Purchases of investments,-,-482976000,-823864000,-469070000
Sales/Maturities of investments,-,519923000,1102792000,415545000
Other investing activites,-,-,-120000,1000
Net cash used for investing activites,-,33436000,274220000,-57251000
Net change in cash,-,293721000,280772000,11015000
Cash at beginning of period,-,608857000,328084000,317068000
Cash at end of period,-,902578000,608857000,328084000
Operating Cash Flow,-,262437000,12895000,87032000
Capital Expenditure,-,-3548000,-4643000,-3732000
Free Cash Flow,-,258889000,8252000,83300000
