Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2129,-2129,-1908,-528.449,-711.261
Purchases of investments,-1.5,-1.5,-375.688,-,-
Sales/Maturities of investments,404.188,404.188,2.5,2.5,105.669
Other investing activites,-,-,-373.188,-,-
Net cash used for investing activites,-1726,-1726,-2281,-503.222,-587.419
Common stock issued,5017,5017,4512,1245,758.37
Common stock repurchased,-242.147,-242.147,-251.424,-66.746,-56.461
Other financing activites,-56.029,-56.029,-,-,-90
Net cash used privided by (used for) financing activities,4718,4718,4261,1478,2212
Net change in cash,1629,1629,700.288,-152.351,290.042
Cash at beginning of period,858.299,858.299,158.011,310.362,20.32
Cash at end of period,2487,2487,858.299,158.011,310.362
Capital Expenditure,-2129,-2129,-1908,-528.449,-711.261
Free Cash Flow,-3492,-3492,-3187,-1656,-2046
