Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-164753,-164753,-88279,-83145,-85030
Acquisitions net,-,-,-,-,3698
Purchases of investments,-5042,-5042,-11924,-134,-
Other investing activites,-,-,10,-,-
Net cash used for investing activites,-169680,-169680,-99488,-83070,-80900
Debt repayment,-,-,-,-50000,-70000
Common stock issued,789,789,4673,1819,-
Common stock repurchased,-110,-110,-95,-129,-9
Dividends Paid,-41486,-41486,-33176,-22308,-19059
Other financing activites,-346,-346,-228,-626,-1224
Net cash used privided by (used for) financing activities,-36052,-36052,-28903,-72424,-93686
Net change in cash,4688,4688,116574,60644,-40690
Cash at beginning of period,243367,243367,126743,66223,107154
Cash at end of period,247449,247449,243367,126743,66223
Capital Expenditure,-164753,-164753,-88279,-83145,-85030
Free Cash Flow,45667,45667,156686,132993,48866
