Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Acquisitions net,-,-,-,-952.179,-
Other investing activites,-,-,-,-2216,-
Net cash used for investing activites,-,-,-,831.321,3943
Common stock issued,-,-,2376,1524,-
Common stock repurchased,-,-,-325.607,-,-
Net cash used privided by (used for) financing activities,-,-,2051,1524,-
Net change in cash,-505.807,-1308,-2253,1593,2391
Cash at beginning of period,2745,3841,6093,4500,2109
Cash at end of period,2239,2533,3841,6093,4500
Free Cash Flow,-505.807,-1308,-4303,-761.794,-1552
