Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-4378073,-4752406,89038,266881
Depreciation & amortization,-,921312,1076509,1247235
Change in working capital,-,-258959,204398,104982
Inventory,-,100030,114439,152811
Other working capital,-,452467,1061928,718887
Other non-cash items,-,128027,139414,124530
Net cash provided by operating activites,-,888056,1321051,1388147
Investments in property plant and equipment,-,-435589,-259123,-669260
Purchases of investments,-,-75178,-,-5200
Sales/Maturities of investments,-,137654,2063,152724
Other investing activites,-,96613,129534,125365
Net cash used for investing activites,-,-155051,720826,-343513
Net change in cash,-,-193881,412221,-984191
Cash at beginning of period,-,1855612,1443390,2427582
Cash at end of period,-,1661731,1855612,1443390
Operating Cash Flow,-,888056,1321051,1388147
Capital Expenditure,-,-435589,-259123,-669260
Free Cash Flow,-,452467,1061928,718887
