Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1746,-1746,-1795,-1050,-1787
Net cash used for investing activites,-1746,-1746,-1795,-1050,-1787
Debt repayment,-762.2038,-762.2038,-529.8952,-,-7161
Common stock issued,-,-,-,-,8154
Other financing activites,-157.0083,-157.0083,-,-,-
Net cash used privided by (used for) financing activities,1055,1055,-348.5407,1673,992.2609
Net change in cash,1256,1256,21.2525,-144.8718,245.9923
Cash at beginning of period,72.7947,72.7947,58.0901,302.5641,70.4809
Cash at end of period,1329,1329,72.2584,52.5641,326.147
Capital Expenditure,-1746,-1746,-1795,-1050,-1787
Free Cash Flow,201.2561,201.2561,369.7931,-1818,-746.2687
