Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3621000,3195000,4564000,3357976
Depreciation & amortization,-,1325000,1121000,619468
Change in working capital,-,-12780000,-13463000,-9609245
Inventory,-,-12902000,-9357000,-11943534
Other working capital,-,-11936000,-17718000,-10023727
Other non-cash items,-,1600000,-356000,1062290
Net cash provided by operating activites,-,-3316000,-9053000,-4162577
Investments in property plant and equipment,-,-8620000,-8665000,-5861150
Acquisitions net,-,-3022000,-390000,-
Purchases of investments,-,-933000,-2605000,-1642452
Other investing activites,-,-315000,-83000,-96696
Net cash used for investing activites,-,-12987000,-10843000,-8961531
Net change in cash,-,-4061000,8730000,7580309
Cash at beginning of period,-,30120000,21383000,13803689
Cash at end of period,-,26112000,30120000,21383998
Operating Cash Flow,-,-3316000,-9053000,-4162577
Capital Expenditure,-,-8620000,-8665000,-5861150
Free Cash Flow,-,-11936000,-17718000,-10023727
