Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1159000,908000,618000,1697000
Depreciation & amortization,-,622000,766000,898000
Change in working capital,-,-14470000,-25125000,-7152000
Other working capital,-,-12898000,-34817000,-8785000
Other non-cash items,-,-526000,-10946000,6912000
Net cash provided by operating activites,-,-12394000,-33700000,-8281000
Investments in property plant and equipment,-,-504000,-1117000,-504000
Purchases of investments,-,-45049000,-35578000,-119322000
Sales/Maturities of investments,-,69400000,101955000,128064000
Other investing activites,-,-1000,-,-1000
Net cash used for investing activites,-,23959000,65339000,8237000
Net change in cash,-,11087000,31155000,-1081000
Cash at beginning of period,-,46140000,14985000,16067000
Cash at end of period,-,57227000,46140000,14985000
Operating Cash Flow,-,-12394000,-33700000,-8281000
Capital Expenditure,-,-504000,-1117000,-504000
Free Cash Flow,-,-12898000,-34817000,-8785000
