Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-40.211,-105.614,-219.536
Other investing activites,-,120.326,-
Net cash used for investing activites,-37.026,14.712,-198.99
Debt repayment,-414.443,-304.378,-2277
Common stock issued,3713,4563,9250
Other financing activites,-,-210.274,-656.344
Net cash used privided by (used for) financing activities,4120,4256,6664
Net change in cash,-848.61,-1687,1379
Cash at beginning of period,9570,6609,5178
Cash at end of period,8721,4972,6609
Capital Expenditure,-40.211,-105.614,-219.536
Free Cash Flow,-4972,-6064,-5305
