Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-773,-741,-1211
Purchases of investments,-429,-1099,-1672
Sales/Maturities of investments,4437,4799,1939
Net cash used for investing activites,3235,2959,4869
Common stock issued,166,245,3056
Dividends Paid,-28759,-38171,-8300
Net cash used privided by (used for) financing activities,-29402,-37926,-5244
Net change in cash,28203,5790,17680
Cash at beginning of period,45076,52669,34989
Cash at end of period,73279,58459,52669
Capital Expenditure,-773,-741,-1211
Free Cash Flow,53597,40016,16844
