Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-4411,-4411
Net cash used for investing activites,-4411,-4411
Debt repayment,-6423,-6423
Common stock issued,47471,47471
Other financing activites,-3123,-3123
Net cash used privided by (used for) financing activities,40779,40779
Net change in cash,40325,40325
Cash at beginning of period,5311,5311
Cash at end of period,45621,45621
Capital Expenditure,-4411,-4411
Free Cash Flow,-453.8967,-453.8967
