Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-93770,-60028,-119066,-78848,-91693
Sales/Maturities of investments,100543,79836,107810,88083,78530
Other investing activites,-1523,-2243,-2119,-455,-1450
Net cash used for investing activites,5250,17565,-13375,8780,-14613
Debt repayment,-,-1000,-,-,-
Common stock issued,10576,11469,3101,3112,10728
Common stock repurchased,-24,-48,-11,-11,-52
Dividends Paid,-22988,-20592,-9029,-8914,-9675
Net cash used privided by (used for) financing activities,-12436,-10171,-4939,-5813,1001
Net change in cash,3921,11838,-12841,7616,-5598
Cash at beginning of period,6421,2150,14991,7375,12973
Cash at end of period,10342,13988,2150,14991,7375
Free Cash Flow,11107,4444,5473,4649,8014
