Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6060000,4749000,4127000,3258000
Depreciation & amortization,-,4976000,4917000,4319000
Change in working capital,-,4655000,-1180000,-1599000
Inventory,-,5696000,1792000,-2931000
Other working capital,-,8248000,-1487000,-4532000
Other non-cash items,-,-71000,859000,-398000
Net cash provided by operating activites,-,13075000,6572000,6066000
Investments in property plant and equipment,-,-4827000,-8059000,-10598000
Purchases of investments,-,-71000,-20000,-21000
Sales/Maturities of investments,-,115000,4240000,315000
Other investing activites,-,-5000,-18000,-2000
Net cash used for investing activites,-,-2623000,-3766000,-10294000
Net change in cash,-,-611000,-2791000,-396000
Cash at beginning of period,-,2839000,5631000,6027000
Cash at end of period,-,2407000,2839000,5631000
Operating Cash Flow,-,13075000,6572000,6066000
Capital Expenditure,-,-4827000,-8059000,-10598000
Free Cash Flow,-,8248000,-1487000,-4532000
