Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-126,-126,-86,-448,-537
Net cash used for investing activites,-100,-100,-58,-443,-534
Debt repayment,-3855,-3855,-1041,-,-
Dividends Paid,-,-,-,-672,-672
Other financing activites,-226,-226,-288,-900,-
Net cash used privided by (used for) financing activities,-4081,-4081,-1103,-531,-672
Net change in cash,-905,-905,-39,-1010,-1986
Cash at beginning of period,3942,3942,3215,4474,6534
Cash at end of period,3093,3093,3942,3215,4474
Capital Expenditure,-126,-126,-86,-448,-537
Free Cash Flow,3150,3150,1036,-484,-1317
