Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1760,-1760,-152.468,-,-
Acquisitions net,4.017,4.017,4.688,-,-
Other investing activites,-100,-100,-,-,-
Net cash used for investing activites,-1856,-1856,-147.78,-,0.339
Common stock issued,4562,4562,1963,579.979,858.926
Common stock repurchased,-282.476,-282.476,-48.714,-,-
Other financing activites,-22.002,-22.002,-,-,-
Net cash used privided by (used for) financing activities,4257,4257,1914,579.979,858.926
Net change in cash,1555,1555,739.618,-55.408,122.203
Cash at beginning of period,1911,1911,1172,800.131,679.773
Cash at end of period,3466,3466,1911,739.618,800.131
Capital Expenditure,-1760,-1760,-152.468,-,-
Free Cash Flow,-2606,-2606,-1180,-635.387,-737.062
