Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,16222100,16222100,14237200,14093200,12394100
Income Before Tax,1693300,1693300,1784400,2252200,1591700
Income Tax Expense,249200,249200,230700,-72300,229900
Income from Continuing Operations,1444100,1444100,1553700,2324500,1361800
Net Income,1394200,1394200,1546500,2310400,1316500
Net Income available to common shareholders,1394200,1394200,1546500,2310400,1316500
Basic EPS,-,-,5.41,8.00,4.55
Diluted EPS,-,-,5.36,7.88,4.50
Basic Average Shares,-,-,285800,288900,289400
Diluted Average Shares,-,-,288800,293100,292700
