Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7825000,6172000,5812000,5945000
Depreciation & amortization,-,2161000,2505000,2647000
Stock based compensation,-,26000,36000,36000
Change in working capital,-,-97727000,71335000,-41521000
Other working capital,-,-102066000,37241000,-45392000
Other non-cash items,-,-31363000,-72969000,-41779000
Net cash provided by operating activites,-,-100581000,40206000,-43061000
Investments in property plant and equipment,-,-1485000,-2965000,-2331000
Purchases of investments,-,-342036000,-394490000,-437881000
Sales/Maturities of investments,-,402563000,448927000,484639000
Other investing activites,-,-,-1000,-1000
Net cash used for investing activites,-,59181000,51677000,44429000
Net change in cash,-,-32844000,98536000,6635000
Cash at beginning of period,-,346048000,247512000,240876000
Cash at end of period,-,313204000,346048000,247512000
Operating Cash Flow,-,-100581000,40206000,-43061000
Capital Expenditure,-,-1485000,-2965000,-2331000
Free Cash Flow,-,-102066000,37241000,-45392000
