Breakdown,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Total Assets,173963,134216,96970,77542
Liabilities,,,,
Total Liabilities,6982,3828,2309,1996
Stockholders' Equity,,,,
Common Stock,7341,6118,5614,5614
Retained Earnings,17288,22056,26331,27515
Total stockholders' equity,166981,130388,94661,75546
Total liabilities and stockholders' equity,173963,134216,96970,77542
