Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3423,-2219,-2749,-865.507,-763.678
Purchases of investments,-,-2115,-3627,-1094,-577.182
Sales/Maturities of investments,-,1809,-,2392,766.575
Other investing activites,1059,-116.853,996.151,1531,-20951
Net cash used for investing activites,2777,-2642,-5380,1964,-21526
Debt repayment,-,-60,-,-3447,-
Common stock issued,317.5,882.317,2774,1845,4932
Common stock repurchased,-,-,-14.833,-26.82,-113.776
Dividends Paid,-,-,-,-,-813.401
Other financing activites,-,-,-240,-,-
Net cash used privided by (used for) financing activities,171.668,2822,10659,1372,4005
Net change in cash,-26.666,-1170,1480,830.154,-19106
Cash at beginning of period,1638,2842,1361,531.101,19637
Cash at end of period,1611,1672,2842,1361,531.101
Capital Expenditure,-3423,-2219,-2749,-865.507,-763.678
Free Cash Flow,-6399,-3569,-6548,-3371,-2349
