Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,269000,851000,32000,196000
Depreciation & amortization,110000,89000,70000,57000
Stock based compensation,28000,34000,-,-
Change in working capital,1438000,983000,859000,656000
Other working capital,58000,463000,1052000,586000
Other non-cash items,-,-169000,-,-3000
Net cash provided by operating activites,1402000,1529000,1304000,1014000
Investments in property plant and equipment,-1344000,-1066000,-252000,-428000
Purchases of investments,-3498000,-1387000,-1624000,-664000
Sales/Maturities of investments,516000,4000,150000,13000
Other investing activites,1082000,496000,-103000,370000
Net cash used for investing activites,-3291000,-2048000,-1846000,-717000
Net change in cash,-1869000,964000,-547000,294000
Cash at beginning of period,3910000,2966000,3513000,3218000
Cash at end of period,2042000,3931000,2966000,3513000
Operating Cash Flow,1402000,1529000,1304000,1014000
Capital Expenditure,-1344000,-1066000,-252000,-428000
Free Cash Flow,58000,463000,1052000,586000
