Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10678000,12896000,6744000,9687000
Depreciation & amortization,-,2413000,2335000,2066000
Change in working capital,-,2779000,3267000,-9154000
Inventory,-,-3137000,-5310000,-2321000
Other working capital,-,9070000,3461000,-591000
Other non-cash items,-,2379000,1717000,1497000
Net cash provided by operating activites,-,12510000,5960000,1840000
Investments in property plant and equipment,-,-3440000,-2499000,-2431000
Acquisitions net,-,-49000,-88000,-502000
Purchases of investments,-,-4354000,-5346000,-4507000
Sales/Maturities of investments,-,8670000,13230000,9048000
Other investing activites,-,101000,-450000,265000
Net cash used for investing activites,-,743000,5086000,4504000
Net change in cash,-,-6346000,6114000,5664000
Cash at beginning of period,-,29235000,22935000,17088000
Cash at end of period,-,23011000,29235000,22935000
Operating Cash Flow,-,12510000,5960000,1840000
Capital Expenditure,-,-3440000,-2499000,-2431000
Free Cash Flow,-,9070000,3461000,-591000
