Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1814588,565844,1896622,1967370
Depreciation & amortization,-,237876,240458,246302
Change in working capital,-,974010,-2649633,3163742
Other working capital,-,1218124,-656478,5144088
Other non-cash items,-,-110007,-291251,-281982
Net cash provided by operating activites,-,1351100,-582640,5196298
Investments in property plant and equipment,-,-132976,-73838,-52210
Acquisitions net,-,-246690,-,-28452
Purchases of investments,-,-2268868,-1579266,-484583
Sales/Maturities of investments,-,692975,288127,352917
Other investing activites,-,-186723,-271030,13938
Net cash used for investing activites,-,-2103841,-1415593,-135195
Net change in cash,-,-1260345,-2452362,4595501
Cash at beginning of period,-,10763100,13164240,8514399
Cash at end of period,-,9502754,10763100,13164240
Operating Cash Flow,-,1351100,-582640,5196298
Capital Expenditure,-,-132976,-73838,-52210
Free Cash Flow,-,1218124,-656478,5144088
