Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,33420,33420,20605,14416,12490
Interest Expense,13404,13404,6997,3534,3096
Income Before Tax,12041,12041,5330,3461,2437
Income Tax Expense,2440,2440,1057,2115,810
Income from Continuing Operations,9601,9601,4273,1346,1627
Net Income,9601,9601,4273,1346,1627
Net Income available to common shareholders,9820,9820,4335,680,770
Basic EPS,-,-,1.02,0.22,0.28
Diluted EPS,-,-,1.00,0.22,0.28
Basic Average Shares,-,-,4261,3260,2913
Diluted Average Shares,-,-,4344,3507,2920
