Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,167722,242838,169384,126045
Depreciation & amortization,-,57904,51188,44962
Change in working capital,-,289888,1326,-76252
Inventory,-,-6343,-8236,23967
Other working capital,-,417794,161864,-41259
Other non-cash items,-,-1405,-2417,-3067
Net cash provided by operating activites,-,552978,229054,3406
Investments in property plant and equipment,-,-135184,-67190,-44665
Acquisitions net,-,-,-,-5730
Purchases of investments,-,-3223,-,-
Sales/Maturities of investments,-,-,-,20725
Other investing activites,-,389,-4033,-2292
Net cash used for investing activites,-,-138018,-71223,-31962
Net change in cash,-,860359,132741,-53646
Cash at beginning of period,-,1810889,1678148,1731794
Cash at end of period,-,2671249,1810889,1678148
Operating Cash Flow,-,552978,229054,3406
Capital Expenditure,-,-135184,-67190,-44665
Free Cash Flow,-,417794,161864,-41259
