Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,546470,678920,739722,744943
Depreciation & amortization,-,578591,593556,620766
Change in working capital,-,122223,161099,-15792
Inventory,-,4450,2963,1889
Other working capital,-,360579,432350,11270
Other non-cash items,-,84272,105087,40336
Net cash provided by operating activites,-,1331679,1653093,1315963
Investments in property plant and equipment,-,-971100,-1220743,-1304693
Purchases of investments,-,-151194,-353384,-152377
Sales/Maturities of investments,-,91207,22594,325344
Other investing activites,-,1317698,-1157093,-164185
Net cash used for investing activites,-,294260,-2697180,-1280972
Net change in cash,-,752597,381533,-80132
Cash at beginning of period,-,3143150,2761616,2841749
Cash at end of period,-,3895748,3143150,2761616
Operating Cash Flow,-,1331679,1653093,1315963
Capital Expenditure,-,-971100,-1220743,-1304693
Free Cash Flow,-,360579,432350,11270
