Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,-39829,-76478,-187121,-189971
Depreciation & amortization,-,4368,8471,18635
Change in working capital,-,-165783,-3313,139271
Inventory,-,0,-54,-1131
Other working capital,-14615,-78771,-325067,-480058
Other non-cash items,-,62261,7761,402
Net cash provided by operating activites,-8418,-72574,-41315,77414
Investments in property plant and equipment,-,-6197,-283752,-557472
Acquisitions net,-,-1307,-,-
Sales/Maturities of investments,-,558,6751,-
Other investing activites,-,-65208,-4537,-48399
Net cash used for investing activites,-183850,-142358,-279608,-605265
Net change in cash,-37082,268915,-187602,-46216
Cash at beginning of period,42798,5699,190393,238260
Cash at end of period,5716,276531,5699,190393
Operating Cash Flow,-8418,-72574,-41315,77414
Capital Expenditure,-,-6197,-283752,-557472
Free Cash Flow,-14615,-78771,-325067,-480058
