Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6138,-2035,-323.881,-8.903,-130.891
Purchases of investments,-,-14.48,-3.492,-,-
Net cash used for investing activites,-6086,-2036,-323.518,-6.929,-88.198
Common stock issued,12350,5650,1778,600,232.962
Common stock repurchased,-730.2,-368.592,-66.667,-3.288,-13.027
Net cash used privided by (used for) financing activities,11620,5281,1711,596.712,219.935
Net change in cash,4386,2620,933.237,392.528,21.887
Cash at beginning of period,1310,1545,611.329,218.801,196.914
Cash at end of period,5696,4165,1545,611.329,218.801
Capital Expenditure,-6138,-2035,-323.881,-8.903,-130.891
Free Cash Flow,-7285,-2661,-778.237,-206.158,-240.741
