Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,12638000,13524000,11449000,12229000
Depreciation & amortization,-,19325000,19368000,16955000
Change in working capital,-,-3168000,-13073000,-2922000
Inventory,-,-1670000,-5693000,-2817000
Other working capital,-,11446000,3463000,16099000
Other non-cash items,-,1128000,1029000,4477000
Net cash provided by operating activites,-,31493000,21934000,34846000
Investments in property plant and equipment,-,-20047000,-18471000,-18747000
Acquisitions net,-,-2811000,-,-12971000
Purchases of investments,-,-,-3310000,-1654000
Sales/Maturities of investments,-,745000,-,30000
Other investing activites,-,-350000,-482000,141000
Net cash used for investing activites,-,-17570000,-20810000,-32912000
Net change in cash,-,2514000,-4896000,-3114000
Cash at beginning of period,-,19776000,24673000,27788000
Cash at end of period,-,23408000,19776000,24673000
Operating Cash Flow,-,31493000,21934000,34846000
Capital Expenditure,-,-20047000,-18471000,-18747000
Free Cash Flow,-,11446000,3463000,16099000
