Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-12967,-12967,-25424,-22224,-11815
Acquisitions net,-20411,-20411,-,-1500,-109348
Other investing activites,-1436,-1436,-1992,-1132,-
Net cash used for investing activites,-33501,-33501,-27416,-21606,-121163
Debt repayment,-107022,-107022,-82500,-154175,-65313
Common stock issued,-,-,-,-,100623
Common stock repurchased,-,-,-,-,-1910
Dividends Paid,-75882,-75882,-75359,-74644,-68376
Other financing activites,-11827,-11827,-73,487,591
Net cash used privided by (used for) financing activities,-71086,-71086,-68932,-61176,13699
Net change in cash,106,106,4913,961,-16896
Cash at beginning of period,30190,30190,28615,22951,39233
Cash at end of period,33386,33386,30190,28615,22951
Capital Expenditure,-12967,-12967,-25424,-22224,-11815
Free Cash Flow,91726,91726,75837,61519,78753
