Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1349950,1304627,1319253,1269483
Liabilities,,,,
Total Liabilities,974799,1018220,1044704,1041012
Stockholders' Equity,,,,
Common Stock,24332,24332,24332,24332
Retained Earnings,328008,241645,212259,166866
Total stockholders' equity,375151,286407,274549,228471
Total liabilities and stockholders' equity,1349950,1304627,1319253,1269483
