Breakdown,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016
Net Income,1528000,1835000,2331000,2728000,2584000
Depreciation & amortization,-,4074000,3734000,3222000,3240000
Change in working capital,-,-370000,-707000,88000,-234000
Inventory,-,-1000,13000,71000,-32000
Other working capital,-,-2154000,-1366000,-74000,-1505000
Other non-cash items,-,-379000,-198000,414000,-399000
Net cash provided by operating activites,-,5806000,5731000,6444000,5353000
Investments in property plant and equipment,-,-7960000,-7097000,-6518000,-6858000
Purchases of investments,-,-22000,-11000,-841000,-41000
Sales/Maturities of investments,-,64000,30000,92000,77000
Other investing activites,-,-,-2000,-31000,-1000
Net cash used for investing activites,-,-7991000,-6908000,-7039000,-6448000
Net change in cash,-,-655000,-579000,-3385000,3785000
Cash at beginning of period,-,4545000,4662000,8047000,4262000
Cash at end of period,-,3890000,4545000,4662000,8047000
Operating Cash Flow,-,5806000,5731000,6444000,5353000
Capital Expenditure,-,-7960000,-7097000,-6518000,-6858000
Free Cash Flow,-,-2154000,-1366000,-74000,-1505000
