Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,646753,548029,445636,518279
Depreciation & amortization,-,249585,232477,161264
Change in working capital,-,-229907,-367952,-200000
Inventory,-,-133109,-101651,-14005
Other working capital,-,638326,236998,307007
Other non-cash items,-,94367,32456,-12858
Net cash provided by operating activites,-,730646,296150,466042
Investments in property plant and equipment,-,-92320,-59152,-159035
Acquisitions net,-,-11289,-108740,-
Purchases of investments,-,-256024,-61935,-170952
Sales/Maturities of investments,-,119129,164791,73179
Other investing activites,-,213,-26911,-1501
Net cash used for investing activites,-,-235277,-55578,-284621
Net change in cash,-,208551,-76841,45970
Cash at beginning of period,-,1353758,1430599,1384629
Cash at end of period,-,1562309,1353758,1430599
Operating Cash Flow,-,730646,296150,466042
Capital Expenditure,-,-92320,-59152,-159035
Free Cash Flow,-,638326,236998,307007
