Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,17869000,29108000,28547000,17570000
Depreciation & amortization,-,26271000,25106000,23370000
Change in working capital,-,3899000,-10973000,4632000
Inventory,-,-11479000,-9387000,-7457000
Other working capital,-,-590000,547000,9420000
Other non-cash items,-,-3529000,2825000,10502000
Net cash provided by operating activites,-,46460000,38429000,40402000
Investments in property plant and equipment,-,-47050000,-37882000,-30982000
Acquisitions net,-,-,-,-1944000
Purchases of investments,-,-2924000,-799000,-4148000
Sales/Maturities of investments,-,9051000,526000,2992000
Other investing activites,-,5732000,9650000,5705000
Net cash used for investing activites,-,-31042000,-34319000,-36361000
Net change in cash,-,-3142000,3206000,-6652000
Cash at beginning of period,-,49758000,46147000,51659000
Cash at end of period,-,46838000,49758000,46147000
Operating Cash Flow,-,46460000,38429000,40402000
Capital Expenditure,-,-47050000,-37882000,-30982000
Free Cash Flow,-,-590000,547000,9420000
