Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1005349,1161489,867113,551881
Depreciation & amortization,-,539600,450956,391270
Change in working capital,-,-681976,-851533,-358492
Inventory,-,-499634,-385952,-11904
Other working capital,-,428344,-606543,86807
Other non-cash items,-,73714,63616,-18839
Net cash provided by operating activites,-,1232716,556765,671242
Investments in property plant and equipment,-,-804372,-1163308,-584435
Purchases of investments,-,-156000,-403,-1581
Sales/Maturities of investments,-,108000,82621,-
Other investing activites,-,-7167,61831,82175
Net cash used for investing activites,-,-863055,-1018319,-500620
Net change in cash,-,200423,-187133,387151
Cash at beginning of period,-,1463750,1650884,1263733
Cash at end of period,-,1664174,1463750,1650884
Operating Cash Flow,-,1232716,556765,671242
Capital Expenditure,-,-804372,-1163308,-584435
Free Cash Flow,-,428344,-606543,86807
