Breakdown,ttm,4/30/2019,4/30/2018,4/30/2017,4/30/2016
Net Income,572862,568436,498883,512377,734914
Depreciation & amortization,-,104335,171458,149218,135416
Change in working capital,-,110136,-147597,174284,62627
Other working capital,-,889568,913779,491204,833421
Other non-cash items,-,-8824,18300,-135405,80681
Net cash provided by operating activites,-,1007051,1078333,809999,1047976
Investments in property plant and equipment,-,-117483,-164554,-318795,-214555
Acquisitions net,-,-146861,-72713,-,-115000
Purchases of investments,-,-,-,-34679,-5100
Sales/Maturities of investments,-,30000,-,87824,-
Other investing activites,-,-50732,-63877,-6764,10
Net cash used for investing activites,-,-295076,-301144,-327414,-353565
Net change in cash,-,478046,945305,238609,664020
Cash at beginning of period,-,3334481,2377748,2139139,1475118
Cash at end of period,-,3813159,3334481,2377748,2139139
Operating Cash Flow,-,1007051,1078333,809999,1047976
Capital Expenditure,-,-117483,-164554,-318795,-214555
Free Cash Flow,-,889568,913779,491204,833421
