Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1544000,3718000,1678000,-291000
Depreciation & amortization,-,3297000,3094000,2596000
Change in working capital,-,-2932000,-29000,1333000
Inventory,-,-4266000,410000,2984000
Other working capital,-,331000,4361000,786000
Other non-cash items,-,351000,304000,675000
Net cash provided by operating activites,-,5158000,6043000,4981000
Investments in property plant and equipment,-,-4827000,-1682000,-4195000
Acquisitions net,-,-,-,-1211000
Purchases of investments,-,-310000,-361000,-532000
Sales/Maturities of investments,-,66000,733000,571000
Other investing activites,-,10000,-69000,-9000
Net cash used for investing activites,-,-5061000,-1379000,-5376000
Net change in cash,-,-995000,-2020000,6653000
Cash at beginning of period,-,18019000,20040000,13386000
Cash at end of period,-,17023000,18019000,20040000
Operating Cash Flow,-,5158000,6043000,4981000
Capital Expenditure,-,-4827000,-1682000,-4195000
Free Cash Flow,-,331000,4361000,786000
