Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-42975,-42975,-67078,-47413,-23152
Purchases of investments,-97699,-97699,-31704,-3404,-
Sales/Maturities of investments,1213,1213,8806,-,-
Other investing activites,-,-,-20435,15663,6589
Net cash used for investing activites,263460,263460,-109262,-35154,-15063
Debt repayment,-45675,-45675,-,-57582,-2302
Common stock issued,-,-,-,76333,1710
Other financing activites,-11256,-11256,-877.019,-702,-
Net cash used privided by (used for) financing activities,-13868,-13868,-956.3616,29806,17079
Net change in cash,110906,110906,-28372,51739,4637
Cash at beginning of period,35334,35334,66065,9327,4761
Cash at end of period,144029,144029,35074,59743,9327
Capital Expenditure,-42975,-42975,-67078,-47413,-23152
Free Cash Flow,-181660,-181660,14768,9674,-20531
