Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2047854,2168854,2890192,2261641
Depreciation & amortization,-,2794098,2319925,1960025
Change in working capital,-,685771,895466,-241775
Inventory,-,3171,-8211,14059
Other working capital,-,389073,1659675,2549957
Other non-cash items,-,417814,774567,394506
Net cash provided by operating activites,-,4856579,6653038,4292084
Investments in property plant and equipment,-,-4467506,-4993363,-1742127
Purchases of investments,-,-418916,-100000,-
Other investing activites,-,15745,12347,-325984
Net cash used for investing activites,-,-4762848,-4892544,-2177993
Net change in cash,-,910367,907611,-127934
Cash at beginning of period,-,8281445,7373834,7501768
Cash at end of period,-,9191813,8281445,7373834
Operating Cash Flow,-,4856579,6653038,4292084
Capital Expenditure,-,-4467506,-4993363,-1742127
Free Cash Flow,-,389073,1659675,2549957
