Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1419318,1444860,1362627,1304915
Depreciation & amortization,-,93349,87631,93611
Change in working capital,-,208441,487291,-339502
Inventory,-,-16669,60114,113858
Other working capital,-,1638108,1770725,1088485
Other non-cash items,-,12714,-6468,-97896
Net cash provided by operating activites,-,1766157,1862321,1184250
Investments in property plant and equipment,-,-128049,-91596,-95765
Purchases of investments,-,-1003942,-866090,-606919
Sales/Maturities of investments,-,522678,102295,427833
Other investing activites,-,-7508,-310,-46679
Net cash used for investing activites,-,-601382,-836670,-318159
Net change in cash,-,936662,797993,668114
Cash at beginning of period,-,7940280,7142287,6474172
Cash at end of period,-,8876942,7940280,7142287
Operating Cash Flow,-,1766157,1862321,1184250
Capital Expenditure,-,-128049,-91596,-95765
Free Cash Flow,-,1638108,1770725,1088485
