Breakdown,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016
Net Income,50700,50700,60200,59600,53400
Depreciation & amortization,3700,3700,1000,1100,700
Stock based compensation,-2300,-2300,400,-1200,0
Change in working capital,44400,44400,-78400,-44200,-41200
Inventory,2900,2900,-21900,-97700,-31200
Other working capital,67100,67100,-24900,13300,11900
Net cash provided by operating activites,74100,74100,-18600,15300,12500
Investments in property plant and equipment,-7000,-7000,-6300,-2000,-600
Acquisitions net,-300,-300,-400,-1400,0
Net cash used for investing activites,-77100,-77100,232500,65500,-6600
Net change in cash,9300,9300,38400,-3700,-600
Cash at beginning of period,38900,38900,500,4200,4800
Cash at end of period,48200,48200,38900,500,4200
Operating Cash Flow,74100,74100,-18600,15300,12500
Capital Expenditure,-7000,-7000,-6300,-2000,-600
Free Cash Flow,67100,67100,-24900,13300,11900
