Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,13882,13882,14108,12955,12788
Interest Expense,1927,1927,2102,1937,2123
Income Before Tax,2051,2051,1713,1824,1018
Income Tax Expense,452,452,130,913,-83.064
Income from Continuing Operations,1599,1599,1583,911,1101
Net Income,1599,1599,1583,911,1101
Net Income available to common shareholders,1599,1599,1583,911,1101
Basic EPS,-,-,0.56,0.33,0.40
Diluted EPS,-,-,0.56,0.33,0.40
Basic Average Shares,-,-,2808,2794,2780
Diluted Average Shares,-,-,2808,2794,2780
