Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,374320,309757,269626,234155
Depreciation & amortization,-,652311,618042,642124
Change in working capital,-,-109652,28642,80606
Inventory,-,-2437,-36876,51242
Other working capital,-,243185,102779,397261
Other non-cash items,-,15635,242336,56228
Net cash provided by operating activites,-,713961,839874,1032617
Investments in property plant and equipment,-,-470776,-737095,-635356
Acquisitions net,-,-235991,-152379,-
Purchases of investments,-,-34546,-19670,-92800
Sales/Maturities of investments,-,0,1109107,25900
Other investing activites,-,-250347,151026,-276883
Net cash used for investing activites,-,-1071370,413201,-675045
Net change in cash,-,-651120,2077391,178357
Cash at beginning of period,-,3000511,923119,744761
Cash at end of period,-,2349390,3000511,923119
Operating Cash Flow,-,713961,839874,1032617
Capital Expenditure,-,-470776,-737095,-635356
Free Cash Flow,-,243185,102779,397261
