Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,462631,389385,323366,165377
Liabilities,,,,
Total Liabilities,10785,2795,78331,803
Stockholders' Equity,,,,
Common Stock,443915,380235,241326,162597
Retained Earnings,7931,6355,3709,1977
Total stockholders' equity,451846,386590,245035,164574
Total liabilities and stockholders' equity,462631,389385,323366,165377
