Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-814835,-540071,141608,192682
Depreciation & amortization,-,213111,195589,191364
Change in working capital,-,156037,93708,-56073
Inventory,-,519,-6372,935
Other working capital,-,-516268,282514,312644
Other non-cash items,-,-58296,-95442,-38732
Net cash provided by operating activites,-,-162366,412133,441355
Investments in property plant and equipment,-,-353902,-129619,-128711
Acquisitions net,-,-519427,-90864,-10000
Purchases of investments,-,-74875,-208582,-89313
Sales/Maturities of investments,-,164436,87853,48105
Other investing activites,-,-209665,-49628,58086
Net cash used for investing activites,-,-855064,315623,-121833
Net change in cash,-,-1120935,624684,223156
Cash at beginning of period,-,1874357,1249672,1026515
Cash at end of period,-,753421,1874357,1249672
Operating Cash Flow,-,-162366,412133,441355
Capital Expenditure,-,-353902,-129619,-128711
Free Cash Flow,-,-516268,282514,312644
