Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,985000,831000,1037218,1014577
Depreciation & amortization,-,3662000,3471562,3419526
Change in working capital,-,-717000,-427053,55504
Other working capital,-,316000,1143967,1608736
Other non-cash items,-,-133000,236303,-133676
Net cash provided by operating activites,-,3547000,4223801,4115017
Investments in property plant and equipment,-,-3231000,-3079834,-2506281
Purchases of investments,-,-31000,-30571,-58550
Other investing activites,-,30000,5031,-66914
Net cash used for investing activites,-,-3150000,-2979432,-2356743
Net change in cash,-,-810000,544596,433539
Cash at beginning of period,-,2856000,2311736,1878196
Cash at end of period,-,2046000,2856332,2311736
Operating Cash Flow,-,3547000,4223801,4115017
Capital Expenditure,-,-3231000,-3079834,-2506281
Free Cash Flow,-,316000,1143967,1608736
